,Time,DSCV_IMF(nT),DSCV_Bx,DSCV_By,DSCV_Bz,WIND_IMF(nT),WIND_Bx,WIND_By,WIND_Bz,WIND_n,WIND_velocidad,WIND_temperatura
30,2022-01-31 00:00:43.428,4.604825,0.88579136,-4.4371824,-0.83761334,4.8946295,2.003703,-3.9725623,-2.0399315,1.9282804727554321,490.0242614746094,27.17823600769043
31,2022-02-01 00:02:53.428,5.989783,-0.7348152,5.73948,-1.5290877,6.1974344,-0.13074099,6.176689,-0.48949805,3.658895969390869,434.74163818359375,43.207252502441406
32,2022-02-02 00:00:30.655,11.53677,0.47305328,11.46285,1.2099705,11.383297,0.9967101,11.110458,2.267978,11.443634986877441,463.110107421875,99999.8984375
33,2022-02-03 00:00:22.685,13.418745,1.286525,13.198343,-2.0495105,12.885751,5.2360373,9.855994,6.4409523,3.6760482788085938,444.4977111816406,49.235782623291016
34,2022-02-04 00:12:18.729,7.966471,-4.5133185,-5.857498,2.9618397,6.938873,-4.69527,-4.504,2.4117177,14.840529441833496,586.6338500976562,41.192874908447266
35,2022-02-05 00:01:56.428,7.968162,2.7697456,-6.2994604,4.0162168,7.732264,2.9281533,-6.475003,3.0476491,4.7419114112854,463.5815124511719,34.98842239379883
36,2022-02-06 00:02:13.464,5.644094,0.45815682,-4.822391,2.893099,5.465546,4.1083574,-1.5585165,3.250326,3.396389961242676,555.4694213867188,58.981414794921875
37,2022-02-07 00:12:41.633,3.601054,0.5620172,-3.4527886,0.8510622,3.8594644,3.527254,-1.545407,0.2562459,1.011870265007019,488.929443359375,46.90701675415039
38,2022-02-08 00:01:35.291,2.960306,1.9743038,-2.1738455,0.35794008,2.9731956,0.7844501,-2.833352,0.44344828,2.5221712589263916,429.6087951660156,35.42939758300781
39,2022-02-09 00:01:36.550,3.476353,2.3517258,-2.02575,1.56342,3.0197146,2.2362614,-1.9040505,0.70171446,3.137268543243408,394.72723388671875,38.24166488647461
40,2022-02-10 00:01:50.308,9.305725,0.3791579,-8.582781,3.5752404,9.919575,-0.59972787,-8.987709,4.1544394,8.379045486450195,412.0055236816406,34.1566047668457
41,2022-02-11 00:00:14.323,11.399032,1.2984276,-11.093432,2.2764611,11.332028,-0.07820009,-11.101307,2.2737079,3.9702765941619873,388.01214599609375,18.457483291625977
42,2022-02-12 00:01:55.712,5.05383,2.700587,0.06805224,4.2674313,4.7244534,3.7427726,0.4594201,2.8462338,4.819112777709961,565.3515625,60.33693313598633
